input,action,messageToShow,body,subject
Summarize my unread emails,SummaryOfEmails,Press the button to get summary,,
Send an email to John about the meeting,SendEmail,Email will be sent to John.,about the meeting,Meeting
Set an alarm for 7 AM,SetAlarm,Alarm set for 7 AM.,,
What’s the weather like in Lahore?,Weather,Fetching weather for Lahore.,,
Message Sarah on WhatsApp about dinner plans,TextWhatsApp,Message sent to Sarah on WhatsApp.,about dinner plans,
Call mom,Call,Calling mom now.,,
Send an email to the manager about project updates,SendEmail,Email will be sent to the manager.,project updates,Project Updates
Set a meeting with HR tomorrow at 10 AM,ScheduleMeeting,Meeting scheduled with HR.,tomorrow at 10 AM,HR Meeting
Find the weather in New York,Weather,Fetching weather for New York.,,
Text John on WhatsApp to bring snacks,TextWhatsApp,Message sent to John on WhatsApp.,to bring snacks,
Summarize my calendar events,SummaryOfEmails,Press the button to get calendar summary.,,
Send an email to the manager about project updates,SendEmail,Email will be sent to the manager.,project updates,Project Updates
Set a meeting with HR tomorrow at 10 AM,ScheduleMeeting,Meeting scheduled with HR.,tomorrow at 10 AM,HR Meeting
Find the weather in New York,Weather,Fetching weather for New York.,,
Text John on WhatsApp to bring snacks,TextWhatsApp,Message sent to John on WhatsApp.,to bring snacks,
Summarize my calendar events,SummaryOfEmails,Press the button to get calendar summary.,,
Send an email to the manager about project updates,SendEmail,Email will be sent to the manager.,project updates,Project Updates
Set a meeting with HR tomorrow at 10 AM,ScheduleMeeting,Meeting scheduled with HR.,tomorrow at 10 AM,HR Meeting
Find the weather in New York,Weather,Fetching weather for New York.,,
Text John on WhatsApp to bring snacks,TextWhatsApp,Message sent to John on WhatsApp.,to bring snacks,
Summarize my calendar events,SummaryOfEmails,Press the button to get calendar summary.,,
Send an email to the manager about project updates,SendEmail,Email will be sent to the manager.,project updates,Project Updates
Set a meeting with HR tomorrow at 10 AM,ScheduleMeeting,Meeting scheduled with HR.,tomorrow at 10 AM,HR Meeting
Find the weather in New York,Weather,Fetching weather for New York.,,
Text John on WhatsApp to bring snacks,TextWhatsApp,Message sent to John on WhatsApp.,to bring snacks,
Summarize my calendar events,SummaryOfEmails,Press the button to get calendar summary.,,
Send an email to the manager about project updates,SendEmail,Email will be sent to the manager.,project updates,Project Updates
Set a meeting with HR tomorrow at 10 AM,ScheduleMeeting,Meeting scheduled with HR.,tomorrow at 10 AM,HR Meeting
Find the weather in New York,Weather,Fetching weather for New York.,,
Text John on WhatsApp to bring snacks,TextWhatsApp,Message sent to John on WhatsApp.,to bring snacks,
Summarize my calendar events,SummaryOfEmails,Press the button to get calendar summary.,,
Send an email to the manager about project updates,SendEmail,Email will be sent to the manager.,project updates,Project Updates
Set a meeting with HR tomorrow at 10 AM,ScheduleMeeting,Meeting scheduled with HR.,tomorrow at 10 AM,HR Meeting
Find the weather in New York,Weather,Fetching weather for New York.,,
Text John on WhatsApp to bring snacks,TextWhatsApp,Message sent to John on WhatsApp.,to bring snacks,
Summarize my calendar events,SummaryOfEmails,Press the button to get calendar summary.,,
Send an email to the manager about project updates,SendEmail,Email will be sent to the manager.,project updates,Project Updates
